0.502359	0.536947	0.498807	0.478436
0.525180	0.495890	0.436692	0.520198
0.508525	0.488573	0.462826	0.511034
0.499565	0.523886	0.500111	0.509996
0.489336	0.497208	0.494028	0.444390
0.488344	0.493238	0.496224	0.507015
0.514987	0.482887	0.542065	0.497106
0.501854	0.486494	0.488502	0.502781
0.502480	0.509039	0.471185	0.480311
0.510769	0.494314	0.505505	0.525550
0.452109	0.495052	0.483342	0.507940
0.485121	0.508555	0.528219	0.485854
0.533966	0.500849	0.493354	0.485753
0.504308	0.467725	0.492418	0.492495
0.532887	0.523223	0.516247	0.491491
0.508532	0.478732	0.480628	0.523697
0.476201	0.490923	0.487502	0.488021
0.494140	0.485304	0.496783	0.518690
0.508493	0.479766	0.485588	0.535651
0.483882	0.482172	0.481873	0.516745
0.500824	0.507410	0.482066	0.497196
0.508490	0.502665	0.484338	0.533650
0.497833	0.002255	0.500703	0.466825
0.486301	0.006483	0.459896	0.501179
0.513875	0.021468	0.527860	0.450726
0.521121	0.044833	0.528031	0.494092
0.491789	0.039567	0.501502	0.483611
0.506702	0.008217	0.471706	0.484990
0.498897	0.000505	0.521752	0.525931
0.505164	0.008304	0.483821	0.496250
0.505085	0.042840	0.482491	0.493243
0.499027	0.015025	0.475772	0.438186
0.508950	0.008062	0.482211	0.515434
0.512554	0.022024	0.514934	0.497649
0.518854	0.010865	0.511430	0.477748
0.486653	0.007439	0.492268	0.504785
0.514177	0.002160	0.507508	0.485268
0.525627	0.015372	0.499145	0.497035
0.496583	0.003004	0.477818	0.497762
0.511023	0.031288	0.519680	0.510979
0.525103	0.054743	0.492112	0.459460
0.505436	0.004365	0.476834	0.503305
0.519656	0.008147	0.506297	0.490628
0.525946	0.016691	0.524348	0.514271
0.465369	0.002701	0.495962	0.493553
0.497866	0.025143	0.509518	0.527074
0.470516	0.013282	0.515228	0.515748
0.497486	0.034934	0.496489	0.497772
0.516543	0.013519	0.489437	0.477995
0.498995	0.026139	0.500134	0.505239
0.504585	0.005585	0.498770	0.504086
0.511944	0.004386	0.533277	0.542512
0.514876	0.004597	0.448411	0.479055
0.511387	0.023968	0.512044	0.507916
0.493241	0.013998	0.542439	0.472573
0.497484	0.011656	0.443569	0.494386
0.475221	0.039221	0.516087	0.489002
0.499883	0.006961	0.525592	0.496531
0.527515	0.012781	0.504199	0.493225
0.508127	0.011090	0.503051	0.505753
0.500027	0.015668	0.522692	0.511582
0.502163	0.004491	0.505625	0.463859
0.507579	0.028829	0.483044	0.497606
0.473814	0.032041	0.512974	0.461138
0.518284	0.025575	0.537329	0.482469
0.499117	0.019820	0.530557	0.487792
0.513038	0.011097	0.501299	0.503822
0.505836	0.005337	0.470198	0.487056
0.489045	0.010352	0.497015	0.487943
