0.507377	0.659955	0.502697	0.654323	0.002980	0.678309	0.700600	0.750560	0.498068	0.732260
0.536512	0.661180	0.528175	0.664966	0.019285	0.685240	0.663514	0.740905	0.487768	0.726144
0.465132	0.631003	0.499838	0.680613	0.043932	0.654221	0.662477	0.739673	0.492975	0.780534
0.511047	0.637954	0.497653	0.692634	0.026161	0.657759	0.655207	0.723527	0.513325	0.744492
0.515237	0.660300	0.497576	0.674045	0.024880	0.661825	0.670462	0.765563	0.522706	0.761168
0.508960	0.663546	0.525894	0.663536	0.015589	0.647620	0.706525	0.772055	0.486536	0.752236
0.510043	0.678687	0.485138	0.652778	0.009505	0.712164	0.666857	0.740159	0.549087	0.744103
0.499987	0.645610	0.490433	0.643256	0.024477	0.646051	0.646367	0.751733	0.489713	0.741183
0.502646	0.649363	0.472690	0.671424	0.001847	0.689850	0.648450	0.767358	0.486903	0.752080
0.466956	0.679783	0.480108	0.656220	0.019071	0.676131	0.640390	0.751705	0.506914	0.733153
0.502211	0.649069	0.496761	0.721131	0.007700	0.657102	0.618223	0.781087	0.520646	0.726942
0.527350	0.666230	0.529536	0.656022	0.027539	0.651065	0.647943	0.782174	0.468491	0.770932
0.488446	0.654878	0.485116	0.656003	0.017099	0.641998	0.642837	0.748501	0.517587	0.779055
0.509120	0.662610	0.504903	0.689776	0.014388	0.678535	0.656364	0.784477	0.524762	0.735672
0.529802	0.704329	0.475484	0.658374	0.009195	0.703598	0.677261	0.721359	0.526016	0.745936
0.504582	0.650144	0.524491	0.670106	0.012433	0.693234	0.670596	0.744395	0.487387	0.739769
0.526460	0.635233	0.456793	0.658870	0.040276	0.664452	0.643650	0.767092	0.496573	0.767129
0.495193	0.663276	0.517530	0.647992	0.014021	0.669143	0.683593	0.767490	0.496596	0.743818
0.499955	0.710751	0.503615	0.628735	0.003975	0.663124	0.653665	0.744074	0.476251	0.731114
0.523345	0.663986	0.503572	0.637614	0.011073	0.646084	0.628923	0.782884	0.510456	0.778047
